x	y
-5.29	4.47
-4.67	5.46
-5.21	4.14
-3.98	4.0
-3.58	5.54
-5.03	3.47
-3.41	3.63
-3.37	3.19
-3.21	3.44
-3.62	3.28
-1.79	3.05
-1.61	3.18
-2.35	2.49
-3.53	2.22
-1.03	1.7
-1.5	2.77
-2.19	1.37
-1.92	2.79
-0.79	1.47
-1.12	1.11
-1.96	-0.68
-1.37	1.56
-0.28	0.31
-1.4	-0.47
-0.41	0.29
0.18	-0.15
0.39	-0.87
-0.09	-1.24
1.48	-1.12
1.63	-0.29
0.88	-1.74
2.95	-0.08
1.37	-0.19
0.75	-1.25
1.85	-1.14
2.0	-1.94
1.79	-1.8
1.81	-1.73
2.32	-0.83
2.3	-2.76
4.34	-2.62
4.48	-3.16
2.98	-4.01
4.4	-3.14
3.52	-2.7
3.92	-2.78
2.57	-3.93
3.49	-3.22
5.25	-4.63
3.73	-4.89
