x	y
-4.34	-6.99
-5.67	-4.38
-5.11	-5.01
-3.83	-4.69
-4.46	-3.91
-5.18	-3.81
-4.26	-4.47
-3.51	-3.56
-4.44	-2.77
-4.04	-3.3
-2.52	-2.88
-3.5	-1.8
-2.78	-2.87
-1.2	-3.86
-1.98	-2.37
-1.6	-3.34
-2.06	-1.9
-1.96	-1.2
-1.68	-1.43
-2.21	-0.85
-1.03	-0.96
-0.95	0.64
-0.26	0.17
-0.74	-0.85
-0.25	-0.66
-0.41	0.35
0.84	0.28
-0.09	0.46
0.48	-0.33
1.73	-0.91
-1.46	1.18
0.97	1.69
0.76	1.05
0.7	0.49
2.31	1.71
1.95	1.6
2.37	1.91
2.49	3.05
1.13	2.03
2.59	2.08
3.46	2.84
2.87	3.66
3.96	4.12
4.89	3.96
3.1	3.9
4.29	4.44
4.22	4.13
3.7	3.17
4.28	4.45
4.9	4.98
