x	y
0.63	2.17
0.17	1.9
-0.9	2.09
0.99	2.0
-0.31	1.88
0.53	1.48
0.47	2.85
0.14	3.02
-0.03	1.79
0.97	3.49
1.5	2.93
3.42	2.92
0.24	3.61
1.67	4.86
2.19	3.85
2.34	3.99
1.96	4.69
1.26	4.99
1.93	6.4
1.17	5.93
2.06	6.34
2.58	5.84
1.84	7.02
2.07	9.01
1.39	7.1
2.35	8.96
2.52	10.02
2.89	9.18
3.63	10.38
2.68	10.63
3.36	10.64
2.22	12.67
3.63	11.88
2.89	12.85
3.07	14.17
4.33	15.24
3.91	14.83
4.36	16.13
3.31	16.39
4.38	16.4
3.64	17.91
4.63	18.14
5.46	19.35
4.68	20.49
5.07	21.35
4.65	21.99
4.59	23.72
3.96	24.1
4.56	25.16
4.91	25.47
